ID,assignment,comments,length
398,3,Your introduction explains your point of view better than your point of view section.,14
399,3,"Many of the inspirations don't explain exactly how it relates to your point of view. ""Movie"" or ""Interactive Theater"" is way too broad of a category. Explain better how you might improve on these existing inspirations or how they fall short.",41
400,3,"I like the juxtaposition of artifacts as conveying meaning, but elaborate further, and specifically talk about what kind of meaning.",20
401,3,"For photo sharing, have you seen lensmob? http://hcistorystudio.tumblr.com/post/109129576225/lensmob",8
402,3,"the prototypes could be more divergent. otherwise, everything is looking good.",11
403,3,"Inspirations: Needs more insightful explanation on why these choices are inspirations. This section is not just a list of other products and what features they have. The Tinder bullet might be the closest to addressing this, but still lacks depth in what about this particular matchmaking system inspires you or offers some insightful takeaway. ",55
404,3,POV: Good articulation of strategy and issue of honest communication. Can we condense this a little bit more? Think about if you had only 10-15 seconds to pitch your POV to someone. What would you say? This will be useful to know moving forward.,44
405,3,"Storyboard 2: For storyboards, you really want to focus on the user's experience when using your potential solution. It's not quite clear in storyboard 2 how the engagement of the application affects your user. There seems to be a lot more heavily focused on the problem; there should be a good balance. ",53
406,3,"Overall, I think the idea of provoking honest feedback/criticism between people is a great design problem. Would love to see how this turns out and how you can make it work. The specific market of fashion critique is a great place to start! Appearances are probably something that people think about all the time. ",55
407,3,"Be careful about creating something like ""Tinder for UCSD"" as this has been done over and over again. Your POV included social anxiety, and I think your storyboards and prototypes should more address the social anxiety aspect rather than simply being an app to find ""connections"" or friends. Think of some other game elements that you might be able to incorporate into a social app like this. ",68
408,3,"POV: The core user need can be clearer in this point of view. Just learning described as a daunting task, nor pointing out the potential useful need of peer experts is quite concretely demonstrating a user need. ",38
409,3,"Inspiration: A lot of fantastic discussion on particular interface features and interactive elements. Would like to see some more commentary on some higher level inspiration related to your POV. On your own time, spend a few thinking about some other applications/systems that might inspire you in that area. ",49
410,3,"Prototypes: For the scans, you should show some steps indicating a flow that takes a user through the application. Otherwise, someone looking would not be able to distill the proper interactions from the prototype and create a functional application. ",40
411,3,"In general, it's also a little difficult to distill the critical high-level design differences between the two prototypes. They both seem pretty centered around a lookup of people teaching certain subjects, and the ability to initiate some conversation. Considering some different designs to address your POV can greatly help with the iterative process. Try to spend some time thinking about on your own time. This will also help you figure out exactly what core feature makes your final app what it is.",82
412,3,the 'food app' has been done *many* time before -- what new dimension will you bring to the table?,19
413,3,Sketch was wonderful but too detailed. Sketch is supposed to take <10 minutes as stated in rubric for A2 also refer to class slides.,25
414,3,"Look @ Prototype requirements. ""Presents an interface (at a sketch level)""",11
415,3,"POV: I think this POV is getting close, but could be honed down a little closer to the concrete need addressed. Particularly, in responding to the impersonal/degrading aspect of asking for favors, what do users actually need for this to not be a problem? Just a provided hub for this may not be enough to clarify this design space. There are many hubs and possibilities for hubs. What is your point of view on what needs to exist in this space?",81
416,3,Explain about how your inspirations fall short of solving your problem.,11
417,3,Good job! I really like the Metaphor of the timer in the first prototype.,14
418,3,"POV: Not clear where the core user need is in this POV that points toward the design space. Looking for different food & snack options is a very broad area, as is giving information & opportunities to find better meal options. What is it in particular in your point of view that you think students need to successfully engage in the exchange of food?",64
419,3,Inspiration: Really good analysis of inspiration. A lot of valuable insight.,12
420,3,"In the second prototype, the idea of rating/listing by menu items rather than general eateries is great. It's definitely another angle to take that has a huge effect on the experience of exchanging information about food. Perhaps there's a way to kill two birds with one stone here: finding where to eat and what to eat in one motion. ",60
421,3,"inspiration not very inspiring. good enough idea, but i'm not seeing much creativity.",13
422,3,Inspirations should demonstrate critical thinking by explaining how those articles/apps fall short or what other questions they lead to.,19
423,3,Storyboard #2's doesn't directly lead to a prototype.,8
424,3,"The novelly idea is fun to think about. I would think about talking with potential users more, especially users who are writers, and see how they might react to such a situation.",32
425,3,"Good work overall, most of my pertinent feedback was given during studio & in office hours. ",17
426,3,Main takeaway would be to focus on distilling one key feature that makes your app what it is. This will help tremendously in moving forward with the design process.,30
427,3,I really liked your prototypes and storyboards! Great job at putting a unique twist on traditional productivity apps.,19
428,3,"Overall I think you're on track. However, I'd encourage you to articulate a clearer POV that is more closely tied to the issues your raise with exploration, or being in a certain place at a certain time. Note that these are two different needs, and you should select one of them to focus on.",54
429,3,"Rather than focusing on ""studying is boring"" perhaps think of why traditional studying is ineffective and why students struggle with it. Inspiration board should include more screenshots to make a more direct link between that inspiration and your prototype. In your storyboards, you also include the teacher, which is not stated in your POV and was difficult to follow the sequencing. Many groups have made study apps in the past, so think about how you might mae yours more innovative and out-of-the-box than simply a study app.",87
430,3,Look for deeper and more abstract connections for the POV. Make sure you decide on the specific audience/community that follows your POV,22
431,3,"Careful getting too specific on a solution in your POV. Also, as I said in class, your storyboards should have a clear situation with a user need, and a story of satisfying it.  I like your POV and inspirations, but think a little more critically about the issues of self-tracking productivity.",52
432,3,"Very well done. Very clear and easy to follow your thought process. I had some difficulty differentiating your prototypes, and also wanted to see how you thought current tools for this problem fall short. But I think you're on the right track and with a solid POV, you have plenty of material to guide your iterations.",56
433,3,"It is not clear how your POV engages with the studio brief, or where current solutions fall short. Why does searching tip websites not work and how will your app help address that issue? Also,  a little more detail on how your prototype flows would be helpful.",48
434,3,"the point of view could be more explicit, but it's still good, it's just that the point of view is strongly implied. the motivational posters are a little too disconnect and obvious. the prototypes are detailed, but you would benefit from simplifying even further, if you can. as for the relation to the brief, it does fit with it, but could you look for a more nuanced relationship or deeper meaning between mood and productivity?",75
435,3,"""since most people are indecisive."" -- this claim lacks evidence",10
436,3,Many people have done a form of the 'eating app' -- what new dimension or perspective will you bring to the table?,22
437,3,this shopping list idea is taboo. i will need to see it become more divergent and unique. how can personal informatics really enhance the utility of the app? where are you using personal informatics in your prototypes and storyboards?,39
438,3,the 'eating app' has been done many times before -- what new dimension will you bring to the table?,19
439,3,great work bringing in inspirations not directly related to eating e.g. spotify,12
440,3,Pick on functionality (study or eating) and improve that (ps the 'studying app' has been done even more times than the 'eating app'),23
441,3,"""It prevents people from feeling punished from being there early. Positive reinforcement for arriving early."" -- interesting insight!",18
442,3,The 'event app' has been done *many* times before -- what new dimension are you going to bring to the table?,21
443,3,"for the point of view, the solution is too specific, and you've left out how personal informatics save the day. you did identify a need to save time vs money.",30
444,3,"inspiration is OK, but they're focusing too much on a specific solution that doesn't fit entirely with the brief.",19
445,3,storyboard 2 is actually on to something with personal informatics.,10
446,3,"prototypes relate to storyboard and point of view, but, again, the point of view needs refining.",16
447,3,the 'eating app' has been done many times before -- what new dimension will you bring to the table?,19
448,3,great work bringing in inspirations not directly related to eating e.g. spotify,12
449,3,Pick on functionality (study or eating) and improve that (ps the 'studying app' has been done even more times than the 'eating app'),23
450,3,"Your point of view was explained better in your Description, than your actual POV section. A more specifically worded POV might be(this is just an example of a similar but not necessarily the same direction): Live music concert attendees lack a way to share and get information, causing confusion for the attendees. Crowdsourcing information while the event is ongoing will help spread information to more attendees.",66
451,3,This point of view has a specific aspect of concerts that it tackles(lack of information) and a particular direction(crowdsourcing). Also it doesn't mention a specific implementation(a mobile web application).,29
452,3,"Your inspiration picks shouldn't explain only what that the app does, but how it inspires you.",16
453,3,The first prototype doesn't show enough interaction for me to understand how it's implemented. Especially the last screen is unclear.,20
454,3,Your point of view needs to explain more. What about their formatting causes them to fall short? How are their communication channels limited?,23
455,3,I like the connection to the anonymity(Yik Yak) and community(Quora) that you guys make. Beware that those two are often at odds with each other.,25
456,3,Storyboard doesn't lead to a prototype that someone else could build.,11
457,3,"In the second storyboard, why does Anna need to share her college life experience? The need is not set up. Also reduce text by actually showing all of Anna, Sarah and Amy with a happy face instead of a paragraph at the last panel.",44
458,3,Your point of view needs to be human centered. Why are people interested in sharing more aspects of themselves?,19
459,3,"This point of view addresses a specific  aspect of social networking(creating a deeper connection) and a particular direction(sharing privately), while mentioning the human need.",25
460,3,"Your inspiration picks shouldn't explain only what that the app/video does, but how it inspires you.",16
461,3,First storyboard has a shallow user need. I need to see people's photos is not a human centered need. Second storyboard does not demonstrate an implementable prototype.,27
462,3,For sharing photos have you seen lensmob? http://hcistorystudio.tumblr.com/post/109129576225/lensmob,8
463,3,POV does not articulate connection to studio brief or a user need,12
464,3,Storyboards lack sufficient detail + the prototypes need to diverge more -- the ideas are *too* similar,17
465,3,Your point of view needs to be more specific. What specific difficulties did they have? Why do they not have the chance to partake?,24
466,3,"Your inspiration picks shouldn't explain only what that the app does, but how it inspires you.",16
467,3,Inspirations lack competitive analysis -- only compares to one event venue (Facebook),12
468,3,"storyboard #1 -- Please post complete storyboard, as discussed, on Piazza via private post. + ensure that future submission contain all required material ",24
469,3,"prototype #1 is strong , nice work ! Prototype #2 is too similar to #1, be sure to think outside of the box, especially if you're doing an 'event app', as this has been done *many* times before",38
470,3,Inspiration board does not discuss how some of the inspirations fall short for the need you are addressing,18
471,3,"Try chatting with someone who prefers to eat alone -- why is this the case? (might be a hard thing to have someone open up about as they might feel vulnerable, so proceed with care)",35
472,3,"the 'food app' has been done *many* times before -- what new dimension will you bring to the table? For instance, you could focus on a particular edge case user group, etc",32
473,3,Inspirations lack competitive analysis -- what other resources are currently available to address this user need? e.g. quick google search brought me here: http://www.rescue.org/us-program/us-san-diego-ca what can you learn for their efforts?,32
474,3,"Not a point of view. An example of a point of view(this is just an example) might be: There are times when we feel inadequate, or as if we're not living our life to its fullest. By reminding us of the highlights of our lives, both the sad and happy, we can re-experience those moments and learn more about ourselves, becoming better individuals.",63
475,3,Your storyboards were both hard to follow. Also the prototype isn't really apparent from reading them.,16
476,3,"Not a human centered point of view. Our focus is people, not books. A human centered point of view will start with the phrase ""Person/Community need(s) a way to ... ""(or some equivalent). As an example,",36
477,3,"In a rapidly changing society, Universities need to promote self-learning. However, a student who has just finished a class, isn't necessarily thinking about learning more on the subject. By leading them towards resources that our in close proximity, such as our underutilized library, we can promote more self-learning and prepare students for their future.",54
478,3,"Talk more critically about what the mentioned inspirations lack, and how you might solve that particular aspect.",17
479,3,I like how your storyboard #2 starts with the person stating a deep user need clearly.,16
480,3,"While prototypes are strong, storyboards lack sufficient detail",8
481,3,Keep in mind that the 'meet up/make friends app' has been done *many* times before -- what new dimension will you bring to the table?,25
482,3,Inspirations lacking metaphorical comparisons +  competitive analysis -- why do some of these platforms fall short of addressing the user need?,22
483,3,Prototypes are borderline *too* flushed out -- just use single colored thick pen to constrain level of detail possible,19
484,3,"what new dimension will you bring to the table of  ever popular 'tourist app'? Try discussing with a more specific user group -- for instance, for those who don't travel, why is that the case?",36
485,3,The POV should go more into why people don't follow personal hygiene tasks consistently. You may also want to broaden the scope of your app. Teeth-brushing is too narrow. I also had a difficult time following the sequencing of Prototype 2. Great and creative topic and idea!,47
486,3,Very well done! 2nd storyboard could have been more detailed in setting the stage and addressing how the app contributes to solving the problem.,25
487,3,"I think the 2nd prototype was much more interesting than the first. I liked the idea of a fitness RPG in a sense. It reminds me a bit of Habitica and Run, Zombies. Inspirations should have included some games that you drew inspiration from.",44
488,3,"POV:  Work on organization and getting right to the point of the needs in your POV statement. ""Choosing what to eat should be easy too."" This is more of a commercial tagline than a human centered POV for the design process. In the problem statement, still, the core of ""wasting time"" is too surface to narrow down the scope of this design project. In seems from the rest of the explanation of the solution that the focused needs are fairness and path of least effort to ultimately make the process as fast as possible. Can you communicate this in a concise POV -- show that these are the demonstrated used needs? This will be important to know moving forward.",120
489,3,"Prototypes 2: Not clear how the flow of the application works when looking at the prototype. There are two options on the first page, list and random. When clicking list, you are taken to the random screen for rouletting popular foods? Is a list then created from choosing from the random wheel? What then, is the purpose of the dice rolling icon on the first screen. Not clear how all of these elements connect and how the flow should be directed. ",82
490,3,"Don't forget that you should be thinking about how you are designing the experience of exchange. Solution 1 that you have provided seems entirely centered on just one person scrolling through some pictures until a suggestion pops up. What is the exchange here? How exactly is this helping a group of friends exchanging something to quickly come to a eatery decision? Solution 2 with the voting and finality of an eventual locked-in decision could be an interesting direction, especially with the inclusion of the ""random"" option for those who don't actually care in the decision of where to eat. I would spend some time thinking about, or even better yet observing situations when people are deciding where to eat. Could it be that there are just a few in the party that guide the discussion and the rest not caring? If so, what part of this exchange do you want to enhance with technology? Help the lead deciders decide faster? Let those who care less or feel like their opinion doesn't matter contribute anyway in light of fairness?  Stuff to think about. (Plus, great excuse to just go out and eat for science. Do really think about this though, I think you can find some interesting insight to drive your final design)",213
491,3,"Be careful using the word ""should"" in your POV. Your inspirations should better address why those apps don't address your problem as well as your app would. I would like to see more game elements in the prototypes, particularly the 2nd one. Otherwise, great job and very thorough prototypes!",49
492,3,"Your POV should state more clearly the user need. The storyboards were very well done. While the prototypes were well-made and well-sequenced, I would like to see more game elements or more reason why your points systems and leveling up matters or how this might change users' behavior.",48
493,3,"Inspirations: Was required that for each inspiration, there be a link to or image of the inspiration. ",18
494,3,"Great job with the prototypes and clever ways of representing certain interface interactions. Don't worry too much about spending time on certain elements of the prototype if they wouldn't be too important of a design decision at this stage. For example, the login screen with typing etc. There may not be that much to gain from testing that interaction at this stage with a prototype unless you go for something more novel in how you log users in. ",79
495,3,"In general, it wasn't immediately obvious where the two prototyped solutions critically deviated in high-level design. It seemed like they were both in the area of an inventory/market for renting out equipment. Knowing exactly what core design decisions make an app/prototype what it is will be important for iteration; more distinguishable prototypes is very useful for such iteration. Thinking about the discussions and feedback had in class may help with bringing out the focus on core areas of design for your solution. ",83
496,3,"POV: Would/Should is not a user need. What have you distilled from what this user group *needs,* and what is your design strategy to address that?",26
497,3,Inspiration: Good addition of the a mentor-mentee system. Learning from how that works and why it is successful can be very valuable for your proposed solution.,26
498,3,POV: 'Should' isn't quite a user need. Making good decisions may indeed be difficult. What are the core needs that come from this difficulty? What part of making decisions/ what kind of decisions are you trying to address? Making decisions in general may be a pretty broad topic.,49
499,3,Insp: Good analysis of different inspirations to draw from. Using a feed is a really interesting idea. Recency /relevance of past experiences is something that can definitely change an entire design experience.,33
500,3,Great diversity in prototype designs while still working in the same design space.,14
501,3,"POV: Not clearly articulating core user needs. Your POV is a lot more focused on what the solution has to offer; you need to make sure it also touches on the needs. What do people need for, say, their social animal nature? Are we concerned about spontaneous, unscheduled social concerns? Long term social bonding? There's a lot of general space floating around that can be narrowed down more for a design project. ",73
502,3,Inspiration: Good discussion and organization,5
503,3,The POV is vague: what tasks do people not want to do? Why do people lose motivation? I would like to see more game elements incorporated into the app. What do points mean? How do they reward the user?,39
504,3,"First storyboard was too difficult to read and follow. In the first prototype, how does this differ from already existing quizzing apps?  Why does dressing the character matter or how will it incentivize users? In the 2nd prototype, what does an adventure consist of? I liked that the 2nd app included scheduled breaks. ",55
505,3,"POV: Getting close, but would still like to see a more articulated user need distilled into the POV. In your design space, what is it that users need to successfully try new places? It seems like things were getting warmer with the description of how reviews typically are exchanged and interpreted by people. What can this tell us about what core thing people need in your point of view? ",70
506,3,"The idea of offering options between friends, friends of friends, & friends of friends of friends, I think, is very clever. This design can have many implications that can have strong effects on the overall exchange experience. I would love to see how that potential design could play out as you iterate toward a final solution.  ",58
507,3,Deductions:  - User needs is extremely broad.,8
508,3,"Inspirations were good, but presented without specifics. If all of these apps are so good, where is the opportunity for your own product?",24
509,3,"Comments: Your point of view needs some more thought. What does someone need in order to achieve a goal? It all depends on what the goal is. Try to get more specific, by thinking back to personas (see scott's videos from week 2) and developing one or two example users for your app. Once you've done that, try to refine your idea to figure out what functionality your app is providing that they can't get elsewhere. ",77
510,3,"Deductions: - Inspirations were good, but  somewhat obvious, Would have liked to see more abstract/metaphorical connections to the point of view. ",23
511,3,"Comments: Great storyboards! Your app reminded me of Charity Navigator: http://www.charitynavigator.org/. One thing to consider is the different attitudes people may have towards donating to charity. Some people might want to donate a small amount regular, others to build up to a larger goal over time. If they_ÑÕ_ëÕÔÕÕ‚ë_re not able to access a charity they want to donate to through your app, they might also be inclined to give up. Can they set monetary goals for particular charities? Is money their only interaction with these charities, or at least the only one that you want to support. All good questions to consider. Second idea is simple but I like it. Would have liked to see a particular example of a daily challenge. Is there a possibility of doing something nice for another user w/in the app? Gives an incentive to the person being challenged to participate and to continue coming to the app. ",154
512,3,Deductions: - Doesn't explicitly relate to design brief,8
513,3,Doesn't include a concrete user need.,8
514,3,"Inspiration board is good, but explanations lack depth. A simple interface may be good for one particular application but you should delve deeper into why the interface is good. ",31
515,3,"Prototypes don't contain enough detail. How do I navigate the fridge prototype? Can I click on items inside of the fridge?  No ""update  goal"" screen from prototype view.",31
516,3,Comments: The point of view does not include a user perspective. I shouldn_ÑÕ_ëÕÔÕÕ‚ë_t have to infer the user from the pov it should come right out and say it. You need a more specific point of view and demonstrable user need in order to tailor your design accordingly. Right now you are making assumptions about what people generally might need. Try thinking back to personas (see scott_ÑÕ_ëÕÔÕÕ‚ë_s videos from week 2) and developing one or two example users for your app.,82
517,3,"As you develop your personas and prototype further, keep asking why: Why did you select the inspirations you did? Why are you interested in helping this particular user?  Why are you choosing particular features for your app. Right now a lot of the analysis remains at a surface level. Digging deeper by trying to understand the users motivations and your own goals in designing will help address that. ",70
518,3,Deductions: - POV doesn't explicitly relate to design brief,9
519,3,POV doesn't include a concrete user need.,9
520,3,"Prototypes don't contain enough detail. How do I navigate the fridge prototype? Can I click on items inside of the fridge? No ""update goal"" screen from prototype view.",18
521,3,"Comments: Great inspiration board! Your point of view talks about health related goals, but isn't specific to something a user needs to be able to do. Also it already includes a solution, which it shouldn't do. Try thinking back to personas (see scott's videos from week 2) and developing one or two example users for your app. ",58
522,3,Deductions: - User need is prescriptive not user-centered.,9
523,3,"Inspirations showed apps that currently seem to solve the problem without explaining why they fall short. If the problem is already solved by someone else, why do we need your app?",32
524,3,"Comments: For the POV, you_ÑÕ_ëÕÔÕÕ‚ë_re telling me that sleep schedules contribute to healthy lifestyles. You can reframe this by saying _ÑÕ_ëÕÔÕÕÔëPeople need a to maintain their sleep schedules_ÑÕ_ëÕÔÕÕ‚ë Even better would be if instead of talking about people you had a specific target user/group in mind. Also you_ÑÕ_ëÕÔÕÕ‚ë_re already bringing in the specific solution (scaring your users?) that you will use to address your need. That is what the storyboard is for, not the point of view. Solid inspirations. ",80
525,3,"Deductions: - POV specifies a clear need, but doesn_ÑÕ_ëÕÔÕÕ‚ë_t tell me how it relates back to the studio brief? Just needed one more sentence linking it back. ",28
526,3,"Inspirations were all directly related to cooking, didn't go beyond that context to make more abstract connections. ",19
527,3,- Paper prototype #1 unclear navigational flow.,8
528,3,"Comments: Well done on 2nd storyboard. 1st prototype_ÑÕ_ëÕÔÕÕ‚ë_s navigational flow was unclear. Like the idea for the second prototype. Is there a way to invite friends through the app, via sms, email, etc? Seems like a crucial feature. Being able to find an event by name or organizer, or something other than location seems like another important option to include. ",61
529,3,Deductions: - POV doesn't articulate a clear user need without also including a proposed solution.,15
530,3,Inspiration didn't make abstract/metaphorical connections to point of view.,11
531,3,"- Storyboard 1. I should be able to make a distinct prototype from the one your team made based off of this storyboard, but it already includes a view of the specific interface. ",34
532,3,"Comments: Your approach feels very generic. You might run into the risk of trying to solve too many problems at once and not really doing any one thing well. Focus on narrowing down your point of view.Try thinking back to personas (see scott_ÑÕ_ëÕÔÕÕ‚ë_s videos from week 2) and developing one or two example users for your app.  I like the idea for the second app, because it_ÑÕ_ëÕÔÕÕ‚ë_s more clearly intended for a shy person who wants to make friends but needs a way to overcome their shyness. ",89
533,3,"Comments: Really liked your inspiration board. Your prototype was really well thought out, but at times, especially the first one was very busy. For the second prototype, You might want to consider not sending regular summary notifications to users, and not asking them initially how often they want to be contacted, because that_ÑÕ_ëÕÔÕÕ‚ë_s not something they will necessarily know right off the bat. Another thing to consider is how you can make the gamification aspect of your app intuitive but not time-consuming. If you_ÑÕ_ëÕÔÕÕ‚ë_ve  seen the app, Neko Atsume, you see that it_ÑÕ_ëÕÔÕÕ‚ë_s a game that doesn_ÑÕ_ëÕÔÕÕ‚ë_t require that users spend a lot of time using it, but that has managed to get people to keep coming back. This is a balance that you could try to strike with the piggy game. Dressing up the pig is a cute idea, maybe other activities than simply saving money can accrue rewards? ",152
534,3,Deductions,1
535,3,Inspiration board doens't talk about how the user would currently address their need and why it falls short.,19
536,3,Storyboards focus too heavily on the prototype/ui. Need to be able to come up with a distinct prototype that corresponds to the point of view from the storyboard.,29
537,3,"-Prototype 2, has a lot of screens but was difficult to figure out, and seems to be for the incorrect platform.",21
538,3,"Comments: Second prototype was very difficult to read, also seems to be made for a desktop view, not a mobile web app. I like your idea of specifically helping cs students develop their portfolios. I think it_ÑÕ_ëÕÔÕÕ‚ë_s time to do more need-finding. Have you talked to people who are actively working on projects? I think the second idea has a lot of potential but right now is confusing and not quite clear. Is this a portal for tracking work, for applying to jobs, for viewing others websites?",87
539,3,Deductions: - Point of View doesn't specifically engage the brief.,11
540,3,"Comments: Recommend not tying yourself to one, extremely outdated, device when developing your prototypes",14
541,3,Is there any way that your app might pull information from online sources to make entering requirements less tedious?,20
542,3,"the point of view is too specific with it's problem, and doesn't explain why personal informatics are important to solving this problem. i think your group is on the right track, but the point of view you wrote here is not connected very well to the brief. this needs to be clear for your benefit.",55
543,3,look in places you otherwise might not look for inspiration. reach as far as you can for inspiration.,18
544,3,good storyboards. good prototypes.,4
545,4,this assignment is incomplete -- ensure you're reading the assignment description + *rubric* in detail before submitting.,17
546,4,Nice work! Good comparative analysis and feedback,7
547,4,great work !,3
548,4,nice work !,3
549,4,great work !,3
550,4,"i liked the aggregate paragraph, but it could have had more.",11
551,4,nice work !,3
552,4,Good job!,2
553,4,Good job on home page.,5
554,4,Great job overall. Only thing is that the group evaluation did not contain many actionable suggestions for improvement.,19
555,4,nice work !,3
556,4,"In general, not enough feedback. Severity rating missing.",8
557,4,There was a start of a brainstorm for potential solutions to the prototypes but not an insightful conclusion reached in the aggregate feedback.,23
558,4,more comparison. confusion about heuristics.,5
559,4,nice work -- strive to offer more detailed + critical feedback,11
560,4,Great job!,2
561,4,Good job!,2
562,4,There was a start of a brainstorm for potential solutions to the prototypes but not an insightful solution suggested in the aggregate feedback.,23
563,4,I can't gleam the features that Novelly will have from your home screen.,13
564,4,"Severity rating in general is a bit low. For example, cancelling the post would receive a 4 I'd say.",19
565,4,There was a start of a brainstorm for potential solutions to the prototypes but not an insightful conclusion reached in the aggregate feedback.,23
566,4,Great job! Only thing was there wasn't enough comparative analysis between the two prototypes and a couple of the non-heuristic issues were missing severity ratings.,25
567,4,Great work! Only thing would be to add a specific severity rating for each violation rather than for the entire heuristic as a whole.,24
568,4,Great job! Only thing was that some of the violations could be further elaborated on in your bullet points as to why they are usability issues. Good comparative analyses.,29
569,4,Mainly missing an explicit comparative analysis between the two prototypes.,10
570,4,"It was clear that your points related to the heuristics, but you need to make it explicit. <15 violations (by 1!?). No comparisons between prototypes.  ",27
571,4,Home Screen: Navigational flow seems unclear. Do I need to sign-in before I can user your app? The Host and Guest buttons seem to indicate no. The _ÑÕ_ëÕÔÕÕÔëMy Events_ÑÕ_ëÕÔÕÕ‚ë button seems to indicate that I_ÑÕ_ëÕÔÕÕ‚ë_m already signed in. When did I do that? Am I just redirected to a sign-in button when I click there?,56
572,4,Good job!,2
573,4,Home page has too many things right now(no points deducted),10
574,4,Really nicely done!,3
575,4,Some of the violations could be elaborated on further as to why it was a usability issue. Also needs an explicit comparative analysis of the two prototypes.,27
576,4,severity ratings? make sure you're looking over the rubric before submitting...,11
577,4,nice work !,3
578,4,summary not very in depth for the amount of detail in both HE's.,13
579,4,go deeper with feedback. make clearer link to heuristics.,9
580,4,Provide more feedback.,3
581,4,Home page has too many things right now(no points deducted),10
582,4,great work !,3
583,4,nice work !,3
584,4,more depth to feedback.,4
585,4,nice work !,3
586,4,"Thorough, but would be helpful if your analysis of each point were a little more concise. ",17
587,4,"Very detailed, and you did a good job rating the severity of the issues appropriately. ",16
588,4,Good job overall. Some of the feedback could have been more comprehensive as to providing them with potential solutions.,20
589,4,good work. write more.,4
590,4,Good job!,2
591,4,nice work !,3
592,4,"I'm not sure how the missing ""show path"" button is related to aesthetics and minimalist design.(no points deducted)",18
593,4,"The severity ratings are sometimes off.  For example, I'd say the missing collaborator screen should be a 4.",19
594,4,Good job!,2
595,4,Some more comparison between the two prototypes would have been helpful.,11
596,4,There was a start of a brainstorm for potential solutions to the prototypes but not an insightful conclusion reached in the aggregate feedback.,23
597,4,I had too much fun pressing the menu toggle in your home page. :),14
598,4,Good job!,2
599,4,I had too much fun pressing the menu toggle in your home page. :),14
600,4,"Individual HE: Solid analysis of usability. Interesting discussion on dynamic updating and how that might effect the experience of someone using the app. Dynamic updating is a pretty cool problem, and will definitely be something fun for the evaluated team to play around with. For example, even when there is dynamic updating (say on Facebook), people still swipe down all the time to refresh -- fascinating behavior. Would like to see some more in depth comparisons between the two prototypes. Most of what was mentioned was simply that both prototypes fell into a similar issue. ",96
601,4,"Group HE: Good group evaluation. Was very useful especially in the context of this course to explicitly detail which heuristics your aggregately distilled violations fit into. Nice inclusion of very concrete example solutions for the evaluated team to consider. I also do agree that because HE has limited scope, it is sometimes difficult to identify, or even just consider identifying problems outside of the HE domain. As a follow up question, what are some ways that we can set up an evaluation to have both the benefits of structure and the freedom of off the page thought?",97
602,4,"Home page: Good start. Some things to consider. Perhaps the navigation you have at the top of your app should be a little more condensed to not take up so much space in a mobile form factor. Common classic approaches would be a hamburger menu or maybe just having those be tabs at the top/bottom like with how Facebook mobile operates. Similarly, will it be that important to have a giant banner with the name and _ÑÕ_ëÕÔÕÕÔÕmost recent favr requests_ÑÕ_ëÕÔÕÕ‚ë_ taking up 1/4th or so of the screen at all times? Perhaps we want to save more space for the feed itself. Remember that space is a lot more valuable and limited when working with mobile! Something else to watch out for is recognition over recall.  _ÑÕ_ëÕÔÕÕÔÕ> and <_ÑÕ_ëÕÔÕÕÔÕ may not be immediately obvious for some people. Think about what symbols, terminology, layout, design, etc. can replace or upgrade less telling arrows. ",154
603,4,Good job!,2
604,4,I had too much fun pressing the menu toggle in your home page. :),14
605,4,nice work !,3
606,4,little off with the ratings. could have gone deeper with the feedback and the comparisons.,15
607,4,great work !,3
608,4,Good job!,2
609,4,"Home screen link didn't work, but because it worked on your teammate's submission, no points taken off. Should include a specific and explicit comparative analysis between the 2 prototypes.",29
610,4,nice work !,3
611,4,great work !,3
612,4,could have better compared the two prototypes.,7
613,4,Good job!,2
614,4,The connection to the heuristics could be explained better. For some I wasn't sure how it connected to the heuristics.,20
615,4,Very good job!,3
616,4,"The aggregate evaluation was also written very well, which was rare.",11
617,4,Great work! Really liked the organization of your submission.,9
618,4,Great job! Very well organized and insightful feedback.,8
619,4,Good job! Aggregate evaluation should have more suggestions for potential solutions to the violations,14
620,4,Well done!,2
621,4,Good job overall. Only thing missing was an explicit comparative analysis between the two prototypes,15
622,4,Needs an explicit and specific comparative analysis of the 2 prototypes (as opposed to just listing the violations). Group evaluation for the 2nd prototype should include more actionable usability suggestions for improvement.,32
623,4,"Thorough, fairly concise, and well ranked.",6
624,4,"i liked the aggregate paragraph, but it could have had more.",11
625,4,Severity ratings are a bit low.,6
626,4,There was a start of a brainstorm for potential solutions to the prototypes but not an insightful conclusion reached in the aggregate feedback.,23
627,4,Home page has too many things right now(no points deducted),10
628,4,Not enough feedback.,3
629,4,Home screen needs to layout the skeleton for more features. Can the user see past likes/dislikes? I'm hoping there will be more features than just like/dislike in your final app.,30
630,4,Well done overall,3
631,4,Very good job!,3
632,4,"The aggregate evaluation was also written very well, which was rare.",11
633,4,Great job! Great insights and comparative analyses.,7
634,4,"Ensure you're completing the assignments (e.g. comparisons across prototypes). Also, a login page is *not* a home page",18
635,4,"nice job. summary could have explored more solutions, and speak more to the HE and less about the product.",19
636,4,severity ratings a little off.,5
637,4,would have wanted to see more comparison. some errors mislabeled.,10
638,4,comparison missing?,2
